Segment,AnnualFee,CashBackRate,IntroAPR,DigitalFeature,APR,Perk,Profit
All,$0 ,1%,None,Basic App,15%,None,400
All,$0 ,1%,None,Basic App,15%,Airport Lounge,476.7987644
All,$0 ,1%,None,Basic App,15%,Travel Insurance,476.4094314
All,$0 ,1%,None,Basic App,20%,None,404.8754048
All,$0 ,1%,None,Basic App,20%,Airport Lounge,554.4109371
All,$0 ,1%,None,Basic App,20%,Travel Insurance,553.7785065
All,$0 ,1%,None,Basic App,25%,None,320.7822832
All,$0 ,1%,None,Basic App,25%,Airport Lounge,494.031715
All,$0 ,1%,None,Basic App,25%,Travel Insurance,493.2879311
All,$0 ,1%,None,Basic App,30%,None,184.5995235
All,$0 ,1%,None,Basic App,30%,Airport Lounge,318.461557
All,$0 ,1%,None,Basic App,30%,Travel Insurance,317.8464882
All,$0 ,1%,None,Spend Insights,15%,None,489.091971
All,$0 ,1%,None,Spend Insights,15%,Airport Lounge,535.710913
All,$0 ,1%,None,Spend Insights,15%,Travel Insurance,535.4040743
All,$0 ,1%,None,Spend Insights,20%,None,530.0800373
All,$0 ,1%,None,Spend Insights,20%,Airport Lounge,662.4391613
All,$0 ,1%,None,Spend Insights,20%,Travel Insurance,661.8778847
All,$0 ,1%,None,Spend Insights,25%,None,448.216795
All,$0 ,1%,None,Spend Insights,25%,Airport Lounge,633.2577929
All,$0 ,1%,None,Spend Insights,25%,Travel Insurance,632.4993732
All,$0 ,1%,None,Spend Insights,30%,None,275.208366
All,$0 ,1%,None,Spend Insights,30%,Airport Lounge,445.4049166
All,$0 ,1%,None,Spend Insights,30%,Travel Insurance,444.6587634
All,$0 ,1%,None,Budget Coaching,15%,None,499.2898713
All,$0 ,1%,None,Budget Coaching,15%,Airport Lounge,538.3203183
All,$0 ,1%,None,Budget Coaching,15%,Travel Insurance,538.0330088
All,$0 ,1%,None,Budget Coaching,20%,None,549.5441915
All,$0 ,1%,None,Budget Coaching,20%,Airport Lounge,674.9941982
All,$0 ,1%,None,Budget Coaching,20%,Travel Insurance,674.4562034
All,$0 ,1%,None,Budget Coaching,25%,None,471.2422629
All,$0 ,1%,None,Budget Coaching,25%,Airport Lounge,654.3170268
All,$0 ,1%,None,Budget Coaching,25%,Travel Insurance,653.5707897
All,$0 ,1%,None,Budget Coaching,30%,None,293.514617
All,$0 ,1%,None,Budget Coaching,30%,Airport Lounge,468.3791595
All,$0 ,1%,None,Budget Coaching,30%,Travel Insurance,467.619222
All,$0 ,1%,0% for 12 months,Basic App,15%,None,211.3132357
All,$0 ,1%,0% for 12 months,Basic App,15%,Airport Lounge,167.1585592
All,$0 ,1%,0% for 12 months,Basic App,15%,Travel Insurance,167.0882389
All,$0 ,1%,0% for 12 months,Basic App,20%,None,348.7225885
All,$0 ,1%,0% for 12 months,Basic App,20%,Airport Lounge,373.8836666
All,$0 ,1%,0% for 12 months,Basic App,20%,Travel Insurance,373.6421208
All,$0 ,1%,0% for 12 months,Basic App,25%,None,350.6998434
All,$0 ,1%,0% for 12 months,Basic App,25%,Airport Lounge,437.5713109
All,$0 ,1%,0% for 12 months,Basic App,25%,Travel Insurance,437.1512741
All,$0 ,1%,0% for 12 months,Basic App,30%,None,239.1546793
All,$0 ,1%,0% for 12 months,Basic App,30%,Airport Lounge,348.8046226
All,$0 ,1%,0% for 12 months,Basic App,30%,Travel Insurance,348.3011546
All,$0 ,1%,0% for 12 months,Spend Insights,15%,None,230.4859169
All,$0 ,1%,0% for 12 months,Spend Insights,15%,Airport Lounge,169.5104129
All,$0 ,1%,0% for 12 months,Spend Insights,15%,Travel Insurance,169.4635749
All,$0 ,1%,0% for 12 months,Spend Insights,20%,None,408.7799637
All,$0 ,1%,0% for 12 months,Spend Insights,20%,Airport Lounge,405.7874695
All,$0 ,1%,0% for 12 months,Spend Insights,20%,Travel Insurance,405.6088083
All,$0 ,1%,0% for 12 months,Spend Insights,25%,None,441.7815334
All,$0 ,1%,0% for 12 months,Spend Insights,25%,Airport Lounge,504.0239913
All,$0 ,1%,0% for 12 months,Spend Insights,25%,Travel Insurance,503.6760537
All,$0 ,1%,0% for 12 months,Spend Insights,30%,None,329.6223382
All,$0 ,1%,0% for 12 months,Spend Insights,30%,Airport Lounge,439.9056095
All,$0 ,1%,0% for 12 months,Spend Insights,30%,Travel Insurance,439.4065333
All,$0 ,1%,0% for 12 months,Budget Coaching,15%,None,226.544643
All,$0 ,1%,0% for 12 months,Budget Coaching,15%,Airport Lounge,162.0952152
All,$0 ,1%,0% for 12 months,Budget Coaching,15%,Travel Insurance,162.0539011
All,$0 ,1%,0% for 12 months,Budget Coaching,20%,None,412.7774995
All,$0 ,1%,0% for 12 months,Budget Coaching,20%,Airport Lounge,403.4818926
All,$0 ,1%,0% for 12 months,Budget Coaching,20%,Travel Insurance,403.3171098
All,$0 ,1%,0% for 12 months,Budget Coaching,25%,None,453.4123881
All,$0 ,1%,0% for 12 months,Budget Coaching,25%,Airport Lounge,508.5311134
All,$0 ,1%,0% for 12 months,Budget Coaching,25%,Travel Insurance,508.2026736
All,$0 ,1%,0% for 12 months,Budget Coaching,30%,None,344.61778
All,$0 ,1%,0% for 12 months,Budget Coaching,30%,Airport Lounge,451.5831349
All,$0 ,1%,0% for 12 months,Budget Coaching,30%,Travel Insurance,451.096344
All,$0 ,1%,0% for 18 months,Basic App,15%,None,38.49550505
All,$0 ,1%,0% for 18 months,Basic App,15%,Airport Lounge,-43.86348075
All,$0 ,1%,0% for 18 months,Basic App,15%,Travel Insurance,-43.84968768
All,$0 ,1%,0% for 18 months,Basic App,20%,None,231.3137794
All,$0 ,1%,0% for 18 months,Basic App,20%,Airport Lounge,201.581535
All,$0 ,1%,0% for 18 months,Basic App,20%,Travel Insurance,201.4815238
All,$0 ,1%,0% for 18 months,Basic App,25%,None,287.6153309
All,$0 ,1%,0% for 18 months,Basic App,25%,Airport Lounge,315.3338399
All,$0 ,1%,0% for 18 months,Basic App,25%,Travel Insurance,315.0921681
All,$0 ,1%,0% for 18 months,Basic App,30%,None,219.0290215
All,$0 ,1%,0% for 18 months,Basic App,30%,Airport Lounge,286.2939775
All,$0 ,1%,0% for 18 months,Basic App,30%,Travel Insurance,285.9425963
All,$0 ,1%,0% for 18 months,Spend Insights,15%,None,33.78761557
